Site,Título,URL,Dia,Mês,bolsonaro,caracteres total,palavras total,caracteres sem nome,palavras sem nome
O Globo,"Não conseguirão me usar para atingir Bolsonaro', diz Flávio após quebra de sigilo",https://oglobo.globo.com/brasil/nao-conseguirao-me-usar-para-atingir-bolsonaro-diz-flavio-apos-quebra-de-sigilo-23662859,2019-05-13,2019-05,Sim,81,3,65,1
O Globo,"Com Moro e Flávio Bolsonaro, Witzel vai a evento da PM e reafirma importância de investigar crime organizado na raiz",https://oglobo.globo.com/rio/com-moro-flavio-bolsonaro-witzel-vai-evento-da-pm-reafirma-importancia-de-investigar-crime-organizado-na-raiz-23663319,2019-05-13,2019-05,Sim,116,3,100,1
Veja,"‘Meu erro talvez tenha sido confiar no Queiroz’, diz Flávio Bolsonaro",https://veja.abril.com.br/politica/meu-erro-talvez-tenha-sido-confiar-no-queiroz-diz-flavio-bolsonaro/,2019-05-13,2019-05,Sim,69,4,53,2
Veja,"Flávio Bolsonaro atua ‘para tentar interromper investigações’, diz MP",https://veja.abril.com.br/politica/flavio-bolsonaro-atua-para-tentar-interromper-investigacoes-diz-mp/,2019-05-13,2019-05,Sim,69,6,53,4
Veja,Justiça do Rio quebra os sigilos bancário fiscal de Flávio Bolsonaro,https://veja.abril.com.br/politica/justica-do-rio-quebra-os-sigilos-bancario-fiscal-de-flavio-bolsonaro/,2019-05-13,2019-05,Sim,68,7,52,5
Valor,Justiça autoriza quebra de sigilo de Flávio Bolsonaro e de Queiroz,https://www.valor.com.br/politica/6252869/justica-autoriza-quebra-de-sigilo-de-flavio-bolsonaro-e-de-queiroz,2019-05-13,2019-05,Sim,66,7,50,5
Valor,Análise: Destino de Flávio Bolsonaro é o principal trunfo de Moro,https://www.valor.com.br/politica/6252959/analise-destino-de-flavio-bolsonaro-e-o-principal-trunfo-de-moro,2019-05-13,2019-05,Sim,65,8,49,6
Congresso em Foco,Flávio Bolsonaro afirma que “militância política” está no Ministério Público na investigação sobre Queiroz,https://congressoemfoco.uol.com.br/corrupcao/flavio-bolsonaro-afirma-que-militancia-politica-esta-no-ministerio-publico-na-investigacao-sobre-queiroz/,2019-05-13,2019-05,Sim,106,6,90,4
R7,Flávio Bolsonaro diz que atacam sua imagem para atingir governo do pai</a,https://noticias.r7.com/brasil/flavio-bolsonaro-diz-que-atacam-sua-imagem-para-atingir-governo-do-pai-13052019,2019-05-13,2019-05,Sim,73,6,57,4
Folha,"Devassa nas contas de Flávio tem potencial 'avassalador', avaliam políticos e magistrados",https://painel.blogfolha.uol.com.br/?p=31174,2019-05-14,2019-05,Não,89,7,83,6
Folha,"Temos confiança no Flávio Bolsonaro, afirma Onyx após quebra de sigilo",https://www1.folha.uol.com.br/poder/2019/05/temos-confianca-no-flavio-bolsonaro-afirma-onyx-apos-quebra-de-sigilo.shtml,2019-05-14,2019-05,Sim,70,5,54,3
Folha,Investigações envolvendo Maia e Flávio Bolsonaro freiam recuperação da Bolsa,https://www1.folha.uol.com.br/mercado/2019/05/investigacoes-envolvendo-maia-e-flavio-bolsonaro-impedem-recuperacao-da-bolsa.shtml,2019-05-14,2019-05,Sim,76,13,60,11
O Globo,Quebra de sigilo no caso Queiroz atinge mãe e mulher de miliciano ligado a Flávio Bolsonaro,https://oglobo.globo.com/brasil/quebra-de-sigilo-no-caso-queiroz-atinge-mae-mulher-de-miliciano-ligado-flavio-bolsonaro-23664111,2019-05-14,2019-05,Sim,91,6,75,4
O Globo,"Após quebra de sigilo, Onyx diz que Planalto tem 'tranquilidade' e 'confiança' em Flávio Bolsonaro",https://oglobo.globo.com/brasil/apos-quebra-de-sigilo-onyxdiz-que-planalto-tem-tranquilidade-confianca-em-flavio-bolsonaro-23664559,2019-05-14,2019-05,Sim,98,4,82,2
O Globo,Primo de Flávio Bolsonaro está entre ex-assessores com sigilo bancário quebrado,https://oglobo.globo.com/brasil/primo-de-flavio-bolsonaro-esta-entre-ex-assessores-com-sigilo-bancarioquebrado-23665440,2019-05-14,2019-05,Sim,79,5,63,3
O Globo,"Patrimônio de Flávio Bolsonaro aumentou 397,1% em doze anos",https://epoca.globo.com/patrimonio-de-flavio-bolsonaro-aumentou-3971-em-doze-anos-23665550,2019-05-14,2019-05,Sim,59,10,43,8
