Site,Título,URL,Dia,Mês,bolsonaro,caracteres total,palavras total,caracteres sem nome,palavras sem nome
R7,Justiça determina acesso a notas fiscais de Flávio Bolsonaro</a,http://noticias.r7.com/brasil/justica-determina-acesso-a-notas-fiscais-de-flavio-bolsonaro-19052019,2019-05-19,2019-05,Sim,63,7,47,5
O Globo,Caso Flávio Bolsonaro: Advogado de Queiroz acusa MP de ilegalidade e critica Justiça por quebra de sigilo,https://oglobo.globo.com/brasil/caso-flavio-bolsonaro-advogado-de-queiroz-acusa-mp-de-ilegalidade-critica-justica-por-quebra-de-sigilo-23678831,2019-05-20,2019-05,Sim,105,4,89,2
O Globo,Desembargador que vai julgar recurso de Flávio Bolsonaro é linha dura,https://epoca.globo.com/guilherme-amado/desembargador-que-vai-julgar-recurso-de-flavio-bolsonaro-linha-dura-23680742,2019-05-20,2019-05,Sim,69,13,53,11
Folha,"O caminho é a política', diz Flávio Bolsonaro no Senado ao defender o pai",https://www1.folha.uol.com.br/poder/2019/05/o-caminho-e-a-politica-diz-flavio-bolsonaro-no-senado-ao-defender-o-pai.shtml,2019-05-21,2019-05,Sim,73,1,57,-1
O Globo,Funcionária de gabinete de Flávio Bolsonaro contrata filha e irmã no Senado,https://oglobo.globo.com/brasil/funcionaria-de-gabinete-de-flavio-bolsonaro-contrata-filha-irma-no-senado-23682783,2019-05-21,2019-05,Sim,75,11,59,9
O Globo,Funcionária do gabinete de Flávio Bolsonaro contrata filha e irmã no Senado,https://oglobo.globo.com/brasil/funcionaria-do-gabinete-de-flavio-bolsonaro-contrata-filha-irma-no-senado-23682783,2019-05-21,2019-05,Sim,75,11,59,9
O Globo,"Flávio Bolsonaro não entregou declarações de IR após ser intimado a dar esclarecimentos, diz MP",https://oglobo.globo.com/brasil/flavio-bolsonaro-nao-entregou-declaracoes-de-ir-apos-ser-intimado-dar-esclarecimentos-diz-mp-23682315,2019-05-21,2019-05,Sim,95,6,79,4
O Globo,Flávio Bolsonaro defende diálogo e afirma que 'o caminho é a política',https://oglobo.globo.com/brasil/flavio-bolsonaro-defende-dialogo-afirma-que-caminho-a-politica-23683331,2019-05-21,2019-05,Sim,70,6,54,4
O Globo,Caso Flávio Bolsonaro: Quebras de sigilo atingem tesoureiras do PSL do Rio,https://oglobo.globo.com/brasil/caso-flavio-bolsonaro-quebras-de-sigilo-atingem-tesoureiras-do-psl-do-rio-23683790,2019-05-22,2019-05,Sim,74,4,58,2
O Globo,"Ex-assessor de Flávio Bolsonaro, Queiroz pagou cirurgia no Einstein com dinheiro vivo",https://oglobo.globo.com/brasil/ex-assessor-de-flavio-bolsonaro-queiroz-pagou-cirurgia-no-einstein-com-dinheiro-vivo-23690415,2019-05-24,2019-05,Sim,85,11,69,9
O Globo,Caso Flávio Bolsonaro: Queiroz pagou R$ 64 mil em dinheiro vivo por cirurgia a hospital em SP,https://oglobo.globo.com/brasil/caso-flavio-bolsonaro-queiroz-pagou-64-mil-em-dinheiro-vivo-por-cirurgia-hospital-em-sp-23690314,2019-05-24,2019-05,Sim,93,4,77,2
Valor,Flávio Bolsonaro tenta suspender pela terceira vez investigação do MPF,https://www.valor.com.br/politica/6281109/flavio-bolsonaro-tenta-suspender-pela-terceira-vez-investigacao-do-mpf,2019-05-29,2019-05,Sim,70,6,54,4
Congresso em Foco,Técnicos da Embrapa condenam projeto de Flávio Bolsonaro que extingue reservas florestais em áreas rurais,https://congressoemfoco.uol.com.br/meio-ambiente/tecnicos-da-embrapa-condenam-projeto-de-flavio-bolsonaro-que-extingue-reservas-florestais-em-areas-rurais/,2019-05-30,2019-05,Sim,105,8,89,6
Folha,Bolsonaro revela amizade com Queiroz e admite preocupação com caso Flávio,https://www1.folha.uol.com.br/poder/2019/05/bolsonaro-revela-amizade-com-queiroz-e-admite-preocupacao-com-caso-flavio.shtml,2019-05-31,2019-05,Sim,73,9,57,7
Congresso em Foco,"Bolsonaro se diz vítima de sabotagem, defende Flávio e admite erro com Vélez no MEC",https://congressoemfoco.uol.com.br/legislativo/bolsonaro-se-diz-vitima-de-sabotagem-defende-flavio-e-admite-erro-com-velez-no-mec/,2019-05-31,2019-05,Sim,83,9,67,7
O Globo,Advogados cariocas de Flávio Bolsonaro devem deixar o caso,https://epoca.globo.com/guilherme-amado/advogados-cariocas-de-flavio-bolsonaro-devem-deixar-caso-23710828,2019-06-01,2019-06,Sim,58,9,42,7
O Globo,"Bolsonaro volta a dizer que confia em Flávio, mas que Fabrício Queiroz precisa se explicar",https://oglobo.globo.com/brasil/bolsonaro-volta-dizer-que-confia-em-flavio-mas-que-fabricio-queiroz-precisa-se-explicar-23711603,2019-06-01,2019-06,Sim,90,9,74,7
O Globo,Flávio Bolsonaro diz que funcionários do gabinete eram 'qualificados',https://oglobo.globo.com/brasil/flavio-bolsonaro-diz-que-funcionarios-do-gabinete-eram-qualificados-23712553,2019-06-02,2019-06,Sim,69,6,53,4
Congresso em Foco,Flávio Bolsonaro defende a nomeação dos nove parentes da ex-madrasta que trabalharam em seu gabinete,https://congressoemfoco.uol.com.br/justica/flavio-bolsonaro-defende-a-nomeacao-dos-nove-parentes-da-ex-madrasta-que-trabalharam-em-seu-gabinete/,2019-06-02,2019-06,Sim,100,6,84,4
R7,"Meu filho responde por seus atos', diz Bolsonaro sobre Flávio</a",http://noticias.r7.com/brasil/meu-filho-responde-por-seus-atos-diz-bolsonaro-sobre-flavio-01062019,2019-06-02,2019-06,Sim,64,3,48,1
Folha,Ministério Público do Rio erra ao explicar negócio de Flávio Bolsonaro,https://www1.folha.uol.com.br/poder/2019/06/ministerio-publico-do-rio-erra-ao-explicar-negocio-de-flavio-bolsonaro.shtml,2019-06-03,2019-06,Sim,70,10,54,8
Folha,PM assessor de Flávio tem boom patrimonial e declara metade em dinheiro vivo,https://www1.folha.uol.com.br/poder/2019/06/pm-assessor-de-flavio-tem-boom-patrimonial-e-declara-metade-em-dinheiro-vivo.shtml,2019-06-05,2019-06,Não,76,2,70,1
O Globo,Seis ex-assessores de Flávio investigados pelo MP nunca tiveram crachá na Alerj,https://oglobo.globo.com/brasil/seis-ex-assessores-de-flavio-investigados-pelo-mp-nunca-tiveram-cracha-na-alerj-23718078,2019-06-05,2019-06,Não,79,4,73,3
Valor,Ex-assessor de Flávio Bolsonaro aumenta o patrimônio em mais de 1.000%,https://www.valor.com.br/politica/6294919/ex-assessor-de-flavio-bolsonaro-aumenta-o-patrimonio-em-mais-de-1000,2019-06-06,2019-06,Sim,70,11,54,9
O Globo,Witzel e Flávio Bolsonaro irão a Toffoli em defesa dos royalties do RJ,https://epoca.globo.com/guilherme-amado/witzel-flavio-bolsonaro-irao-toffoli-em-defesa-dos-royalties-do-rj-23726735,2019-06-08,2019-06,Sim,70,6,54,4
Veja,Jair Bolsonaro se reúne com Flávio e advogados no Alvorada,https://veja.abril.com.br/politica/jair-bolsonaro-se-reune-com-flavio-e-advogados-no-alvorada/,2019-06-08,2019-06,Sim,58,4,42,2
O Globo,É #FAKE que Moro afastou promotor que investigava Flávio Bolsonaro e delegado do caso Marielle,https://oglobo.globo.com/fato-ou-fake/e-fake-que-moro-afastou-promotor-que-investigava-flavio-bolsonaro-delegado-do-caso-marielle-23740187,2019-06-14,2019-06,Sim,94,1,78,-1
Folha,Elo com Flávio alimenta fama e riscos a deputado que quebrou placa de Marielle,https://www1.folha.uol.com.br/poder/2019/06/elo-com-flavio-alimenta-fama-e-riscos-a-deputado-que-quebrou-placa-de-marielle.shtml,2019-06-15,2019-06,Não,78,3,72,2
O Globo,Mulher de Flávio Bolsonaro desconfia que sofreu ataque de hacker,https://epoca.globo.com/guilherme-amado/mulher-de-flavio-bolsonaro-desconfia-que-sofreu-ataque-de-hacker-23742471,2019-06-16,2019-06,Sim,64,6,48,4
R7,"No Senado, Flávio destoa do discurso 'bolsonarista'</a",http://noticias.r7.com/brasil/no-senado-flavio-destoa-do-discurso-bolsonarista-17062019,2019-06-17,2019-06,Não,54,2,48,1
O Globo,"Rogéria Bolsonaro, mãe de Flávio, ganhará cargo na Alerj",https://oglobo.globo.com/rio/rogeria-bolsonaro-mae-de-flavio-ganhara-cargo-na-alerj-23749234,2019-06-18,2019-06,Sim,56,7,40,5
O Globo,"Flávio tinha ótima relação com Anderson', diz diretor de filme sobre Flordelis",https://oglobo.globo.com/rio/flavio-tinha-otima-relacao-com-anderson-diz-diretor-de-filme-sobre-flordelis-23750526,2019-06-19,2019-06,Não,78,6,72,5
O Globo,"Flávio tinha ótima relação com Anderson', diz diretor de filme sobre deputada Flordelis",https://oglobo.globo.com/rio/flavio-tinha-otima-relacao-com-anderson-diz-diretor-de-filme-sobre-deputada-flordelis-23750584,2019-06-19,2019-06,Não,87,6,81,5
Folha,Desembargador suspende quebra de sigilo de empresa no caso Flávio Bolsonaro,https://www1.folha.uol.com.br/poder/2019/06/desembargador-suspende-quebra-de-sigilo-de-empresa-no-caso-flavio-bolsonaro.shtml,2019-06-20,2019-06,Sim,75,13,59,11
O Globo,Desembargador suspende quebra de sigilo bancário de empresa que fez negócios imobiliários com Flávio Bolsonaro,https://oglobo.globo.com/brasil/desembargador-suspende-quebra-de-sigilo-bancario-de-empresa-que-fez-negocios-imobiliarios-com-flavio-bolsonaro-23753397,2019-06-20,2019-06,Sim,110,13,94,11
O Globo,"Desembargador suspende quebra de sigilo bancário de empresa que fez negócios imobiliários com Flávio Bolsonaro, diz jornal",https://oglobo.globo.com/brasil/desembargador-suspende-quebra-de-sigilo-bancario-de-empresa-que-fez-negocios-imobiliarios-com-flavio-bolsonaro-diz-jornal-23753397,2019-06-20,2019-06,Sim,122,13,106,11
Valor,Justiça suspende quebra de sigilo de empresa no caso Flávio Bolsonaro,https://www.valor.com.br/politica/6313777/justica-suspende-quebra-de-sigilo-de-empresa-no-caso-flavio-bolsonaro,2019-06-20,2019-06,Sim,69,7,53,5
O Globo,"Justiça proíbe artistas de rua no metrô, após ação de Flávio Bolsonaro",https://oglobo.globo.com/rio/justica-proibe-artistas-de-rua-no-metro-apos-acao-de-flavio-bolsonaro-23761693,2019-06-25,2019-06,Sim,70,7,54,5
O Globo,"Flávio Bolsonaro, o popular",https://epoca.globo.com/guilherme-amado/flavio-bolsonaro-popular-23760506,2019-06-25,2019-06,Sim,27,6,11,4
O Globo,Flávio Bolsonaro comemora proibição da apresentação de artistas nos transportes,https://oglobo.globo.com/rio/flavio-bolsonaro-comemora-proibicao-da-apresentacao-de-artistas-nos-transportes-23762173,2019-06-25,2019-06,Sim,79,6,63,4
O Globo,Líder do governo e Flávio Bolsonaro apresentam projeto sobre posse e porte de armas,https://oglobo.globo.com/brasil/lider-do-governo-flavio-bolsonaro-apresentam-projeto-sobre-posse-porte-de-armas-23763973,2019-06-25,2019-06,Sim,83,5,67,3
Veja,Justiça acata pedido de Flávio Bolsonaro e proíbe artistas de rua no metrô,https://veja.abril.com.br/politica/justica-acata-pedido-de-flavio-bolsonaro-e-proibe-artistas-de-rua-no-metro/,2019-06-25,2019-06,Sim,74,7,58,5
Folha,Desembargador nega pedido de Flávio para suspender quebra de sigilo,https://www1.folha.uol.com.br/poder/2019/06/desembargador-nega-pedido-de-flavio-para-suspender-quebra-de-sigilo.shtml,2019-06-26,2019-06,Não,67,13,61,12
O Globo,TJ nega liminar pedida por Flávio Bolsonaro para suspender quebra de sigilo,https://oglobo.globo.com/brasil/tj-nega-liminar-pedida-por-flavio-bolsonaro-para-suspender-quebra-de-sigilo-23765594,2019-06-26,2019-06,Sim,75,2,59,0
Veja,Flávio Bolsonaro tem novo pedido negado para suspender quebra de sigilo,https://veja.abril.com.br/politica/flavio-bolsonaro-tem-novo-pedido-negado-para-suspender-quebra-de-sigilo/,2019-06-26,2019-06,Sim,71,6,55,4
Valor,Justiça nega pedido de Flávio Bolsonaro de suspender quebra de sigilo,https://www.valor.com.br/politica/6321529/justica-nega-pedido-de-flavio-bolsonaro-de-suspender-quebra-de-sigilo,2019-06-26,2019-06,Sim,69,7,53,5
Folha,"Fim de despesa obrigatória pode ser proposto antes do recesso, diz Flávio Bolsonaro",https://www1.folha.uol.com.br/mercado/2019/06/fim-de-despesa-obrigatoria-pode-ser-proposto-antes-do-recesso-diz-flavio-bolsonaro.shtml,2019-06-27,2019-06,Sim,83,3,67,1
O Globo,"Pacto Federativo será apresentado pelo Senado, afirma Flávio Bolsonaro",https://oglobo.globo.com/economia/pacto-federativo-sera-apresentado-pelo-senado-afirma-flavio-bolsonaro-23767893,2019-06-27,2019-06,Sim,70,5,54,3
O Globo,"PEC do Pacto Federativo será apresentada pelo Senado, diz Flávio Bolsonaro",https://oglobo.globo.com/economia/pec-do-pacto-federativo-sera-apresentada-pelo-senado-diz-flavio-bolsonaro-23767893,2019-06-27,2019-06,Sim,74,3,58,1
Veja,Flávio a favor; Olimpio contra: como votou o Senado no abuso de autoridade,https://veja.abril.com.br/politica/flavio-a-favor-olimpio-contra-como-votou-o-senado-no-abuso-de-autoridade/,2019-06-27,2019-06,Não,74,6,68,5
Folha,Juiz quebra sigilos de mais oito no caso Flávio Bolsonaro e refaz decisão,https://www1.folha.uol.com.br/poder/2019/06/juiz-quebra-sigilos-de-mais-oito-no-caso-flavio-bolsonaro-e-refaz-decisao.shtml,2019-06-28,2019-06,Sim,73,4,57,2
O Globo,Justiça do Rio quebra sigilos bancário e fiscal de mais oito pessoas no caso que investiga Flávio Bolsonaro,https://oglobo.globo.com/brasil/justica-do-rio-quebra-sigilos-bancario-fiscal-de-mais-oito-pessoas-no-caso-que-investiga-flavio-bolsonaro-23771674,2019-06-28,2019-06,Sim,107,7,91,5
Veja,Justiça do Rio quebra sigilo de mais oito no caso Flávio Bolsonaro,https://veja.abril.com.br/politica/justica-do-rio-quebra-sigilo-de-mais-oito-no-caso-flavio-bolsonaro/,2019-06-28,2019-06,Sim,66,7,50,5
Valor,Juiz quebra sigilos de mais oito no caso Flávio Bolsonaro,https://www.valor.com.br/politica/6324285/juiz-quebra-sigilos-de-mais-oito-no-caso-flavio-bolsonaro,2019-06-28,2019-06,Sim,57,4,41,2
Valor,Juiz de caso Flávio Bolsonaro é conhecido pelo rigor extremo,https://www.valor.com.br/politica/6326219/juiz-de-caso-flavio-bolsonaro-e-conhecido-pelo-rigor-extremo,2019-07-01,2019-07,Sim,60,4,44,2
O Globo,35 perguntas para Flávio Bolsonaro,https://epoca.globo.com/35-perguntas-para-flavio-bolsonaro-23782889,2019-07-04,2019-07,Sim,34,2,18,0
O Globo,"Dão importância demais ao que Carlos fala', diz Flávio Bolsonaro",https://epoca.globo.com/dao-importancia-demais-ao-que-carlos-fala-diz-flavio-bolsonaro-23783001,2019-07-04,2019-07,Sim,64,3,48,1
O Globo,Flávio Bolsonaro e PSL definem candidatura de Rodrigo Amorim à prefeitura do Rio em 2020,https://oglobo.globo.com/brasil/flavio-bolsonaro-psl-definem-candidatura-de-rodrigo-amorim-prefeitura-do-rio-em-2020-23786925,2019-07-05,2019-07,Sim,88,6,72,4
O Globo,Flávio Bolsonaro: FAB falhou em episódio da cocaína,https://epoca.globo.com/guilherme-amado/flavio-bolsonaro-fab-falhou-em-episodio-da-cocaina-23788212,2019-07-06,2019-07,Sim,51,6,35,4
O Globo,Flávio Bolsonaro critica ataques a centrão e bonecos de ministros do STF,https://epoca.globo.com/guilherme-amado/flavio-bolsonaro-critica-ataques-centrao-bonecos-de-ministros-do-stf-23788410,2019-07-07,2019-07,Sim,72,6,56,4
Folha,Flávio Bolsonaro assume embaixada de Laranjeiras,https://renatoterra.blogfolha.uol.com.br/?p=274,2019-07-13,2019-07,Sim,48,6,32,4
O Globo,Flávio Bolsonaro diz que Senado deve debater a inclusão de estados e municípios,https://oglobo.globo.com/economia/flavio-bolsonaro-diz-que-senado-deve-debater-inclusao-de-estados-municipios-23809165,2019-07-15,2019-07,Sim,79,6,63,4
O Globo,Flávio Bolsonaro diz que Senado deve debater inclusão de estados e municípios na reforma,https://oglobo.globo.com/economia/flavio-bolsonaro-diz-que-senado-deve-debater-inclusao-de-estados-municipios-na-reforma-23809165,2019-07-15,2019-07,Sim,88,6,72,4
Veja,Ministério Público investiga contas eleitorais de Flávio Bolsonaro,https://veja.abril.com.br/politica/ministerio-publico-investiga-contas-eleitorais-de-flavio-bolsonaro/,2019-07-15,2019-07,Sim,66,10,50,8
R7,Ministério Público investiga contas eleitorais de Flávio Bolsonaro</a,http://noticias.r7.com/brasil/ministerio-publico-investiga-contas-eleitorais-de-flavio-bolsonaro-15072019,2019-07-15,2019-07,Sim,69,10,53,8
Folha,Toffoli atende a pedido de Flávio Bolsonaro e suspende inquérito com dados do Coaf,https://www1.folha.uol.com.br/poder/2019/07/toffoli-atende-a-pedido-de-flavio-bolsonaro-e-suspende-inquerito-com-dados-do-coaf.shtml,2019-07-16,2019-07,Sim,82,7,66,5
Folha,"Toffoli apenas cumpriu a lei e fez justiça, diz advogado de Flávio Bolsonaro",https://www1.folha.uol.com.br/poder/2019/07/toffoli-apenas-cumpriu-a-lei-e-fez-justica-diz-advogado-de-flavio-bolsonaro.shtml,2019-07-16,2019-07,Sim,76,7,60,5
Folha,Entenda as consequências da decisão de Toffoli para Flávio Bolsonaro e a Lava Jato,https://www1.folha.uol.com.br/poder/2019/07/entenda-as-consequencias-da-decisao-de-toffoli-para-flavio-bolsonaro-e-a-lava-jato.shtml,2019-07-16,2019-07,Sim,82,7,66,5
O Globo,Toffoli atende a pedido da defesa de Flávio Bolsonaro e suspende investigações com Coaf,https://oglobo.globo.com/brasil/toffoli-atende-pedido-da-defesa-de-flavio-bolsonaro-suspende-investigacoes-com-coaf-23811291,2019-07-16,2019-07,Sim,87,7,71,5
O Globo,"Julgamento de HC de Flávio Bolsonaro foi retirado de pauta, diz advogado",https://oglobo.globo.com/brasil/julgamento-de-hc-de-flavio-bolsonaro-foi-retirado-de-pauta-diz-advogado-23811595,2019-07-16,2019-07,Sim,72,10,56,8
O Globo,"Após decisão de Toffoli, julgamento de HC de Flávio Bolsonaro é retirado de pauta",https://oglobo.globo.com/brasil/apos-decisao-de-toffoli-julgamento-de-hc-de-flavio-bolsonaro-retirado-de-pauta-23811595,2019-07-16,2019-07,Sim,81,4,65,2
O Globo,Bolsonaro diz que Flávio tem 'problemas potencializados' por ser seu filho,https://oglobo.globo.com/brasil/bolsonaro-diz-que-flavio-tem-problemas-potencializados-por-ser-seu-filho-23811657,2019-07-16,2019-07,Sim,74,9,58,7
O Globo,"Após decisão de Toffoli, Bolsonaro diz que Flávio tem 'problemas potencializados' por ser seu filho",https://oglobo.globo.com/brasil/apos-decisao-de-toffoli-bolsonaro-diz-que-flavio-tem-problemas-potencializados-por-ser-seu-filho-23811657,2019-07-16,2019-07,Sim,99,4,83,2
Veja,STF determina suspensão de investigação contra Flávio Bolsonaro,https://veja.abril.com.br/politica/stf-determina-suspensao-de-processos-contra-flavio-bolsonaro/,2019-07-16,2019-07,Sim,63,3,47,1
Veja,"Confiamos na Justiça, diz defesa de Flávio Bolsonaro sobre decisão do STF",https://veja.abril.com.br/brasil/confiamos-na-justica-diz-defesa-de-flavio-bolsonaro-sobre-decisao-do-stf/,2019-07-16,2019-07,Sim,73,9,57,7
Valor,Toffoli suspende investigação do MP-RJ sobre Flávio Bolsonaro,http://www.valor.com.br/politica/6351917/toffoli-suspende-investigacao-do-mp-rj-sobre-flavio-bolsonaro,2019-07-16,2019-07,Sim,61,7,45,5
Valor,"Bolsonaro: Flávio tem ""problemas potencializados por ser meu filho""",http://www.valor.com.br/politica/6352055/bolsonaro-flavio-tem-problemas-potencializados-por-ser-meu-filho,2019-07-16,2019-07,Sim,67,10,51,8
Valor,STF julga em novembro validade de processo contra Flávio Bolsonaro,http://www.valor.com.br/politica/6352099/stf-julga-em-novembro-validade-de-processo-contra-flavio-bolsonaro,2019-07-16,2019-07,Sim,66,3,50,1
R7,Dias Toffoli suspende investigações sobre Flávio Bolsonaro</a,http://noticias.r7.com/brasil/dias-toffoli-suspende-investigacoes-sobre-flavio-bolsonaro-16072019,2019-07-16,2019-07,Sim,61,4,45,2
Folha,Toffoli neutralizou ataques de bolsonaristas ao usar caso Flávio para travar investigações,https://painel.blogfolha.uol.com.br/?p=32437,2019-07-17,2019-07,Não,90,7,84,6
Folha,Flávio Bolsonaro apresentará no Senado proposta de imposto único,https://www1.folha.uol.com.br/colunas/monicabergamo/2019/07/flavio-bolsonaro-apresentara-no-senado-proposta-de-imposto-unico.shtml,2019-07-17,2019-07,Sim,64,6,48,4
Folha,Promotoria do Rio pede para atuar em processo no STF que beneficiou Flávio,https://www1.folha.uol.com.br/poder/2019/07/promotoria-do-rio-pede-para-atuar-em-processo-no-stf-que-beneficiou-flavio.shtml,2019-07-17,2019-07,Não,74,10,68,9
O Globo,Seis pontos que explicam a decisão de Toffoli e como ela pode ter beneficiado Flávio Bolsonaro,https://oglobo.globo.com/brasil/seis-pontos-que-explicam-decisao-de-toffoli-e-como-ela-pode-ter-beneficiado-flavio-bolsonaro-23813963,2019-07-17,2019-07,Sim,94,4,78,2
O Globo,Seis pontos para entender a decisão de Toffoli e como ela pode beneficiar Flávio Bolsonaro,https://oglobo.globo.com/brasil/seis-pontos-para-entender-decisao-de-toffoli-como-ela-pode-beneficiar-flavio-bolsonaro-23813963,2019-07-17,2019-07,Sim,90,4,74,2
O Globo,"Brasil pode receber punição internacional por decisão de Toffoli que favoreceu Flávio, avalia MPF",https://oglobo.globo.com/brasil/brasil-pode-receber-punicao-internacional-por-decisao-de-toffoli-que-favoreceu-flavio-avalia-mpf-23814240,2019-07-17,2019-07,Não,97,6,91,5
O Globo,"Brasil pode receber punição internacional por decisão de Toffoli que favoreceu Flávio, diz MPF",https://oglobo.globo.com/brasil/brasil-pode-receber-punicao-internacional-por-decisao-de-toffoli-que-favoreceu-flavio-diz-mpf-23814292,2019-07-17,2019-07,Não,94,6,88,5
O Globo,Autuação em posto de gasolina: a origem da decisão favorável a Flávio Bolsonaro,https://epoca.globo.com/autuacao-em-posto-de-gasolina-origem-da-decisao-favoravel-flavio-bolsonaro-23814390,2019-07-17,2019-07,Sim,79,8,63,6
Valor,Toffoli trava inquérito contra Flávio,http://www.valor.com.br/politica/6353029/toffoli-trava-inquerito-contra-flavio,2019-07-17,2019-07,Não,37,7,31,6
Valor,Candidatos à PGR buscam apoio de Flávio Bolsonaro,http://www.valor.com.br/politica/6353025/candidatos-pgr-buscam-apoio-de-flavio-bolsonaro,2019-07-17,2019-07,Sim,49,10,33,8
Folha,Rede entrará no STF contra medida de Toffoli que beneficia Flavio Bolsonaro,https://www1.folha.uol.com.br/colunas/monicabergamo/2019/07/rede-entrara-no-stf-contra-medida-de-toffoli-que-beneficia-flavio-bolsonaro.shtml,2019-07-17,2019-07,Sim,75,4,59,2
Congresso em Foco,Procuradores pedem revisão da decisão de Toffoli sobre Flávio Bolsonaro,https://congressoemfoco.uol.com.br/corrupcao/procuradores-pedem-revisao-da-decisao-de-toffoli-sobre-flavio-bolsonaro/,2019-07-17,2019-07,Sim,71,12,55,10
R7,"Decisão de Toffoli 'cumpre a lei', diz advogado de Flávio Bolsonaro</a",http://noticias.r7.com/brasil/decisao-de-toffoli-cumpre-a-lei-diz-advogado-de-flavio-bolsonaro-17072019,2019-07-17,2019-07,Sim,70,7,54,5
Folha,Investigação sobre Flávio teve 6 relatórios do Coaf antes de quebra de sigilo,https://www1.folha.uol.com.br/poder/2019/07/investigacao-sobre-flavio-teve-6-relatorios-do-coaf-antes-de-quebra-de-sigilo.shtml,2019-07-18,2019-07,Não,77,12,71,11
Folha,"Antes de Flávio Bolsonaro, empresários buscaram apoio de Maia para reforma",https://www1.folha.uol.com.br/colunas/painelsa/2019/07/antes-de-flavio-bolsonaro-empresarios-buscaram-apoio-de-maia-para-reforma.shtml,2019-07-18,2019-07,Sim,74,5,58,3
O Globo,Advogado de Flávio vira rei na família Bolsonaro,https://epoca.globo.com/guilherme-amado/advogado-de-flavio-vira-rei-na-familia-bolsonaro-23818032,2019-07-19,2019-07,Sim,48,8,32,6
O Globo,"Suplente de Flávio Bolsonaro R$ 11,6 milhões mais rico",https://epoca.globo.com/guilherme-amado/suplente-de-flavio-bolsonaro-116-milhoes-mais-rico-23821128,2019-07-20,2019-07,Sim,54,8,38,6
Folha,"Com 42 ações pendentes, Toffoli só viu urgência ao analisar caso Flávio",https://www1.folha.uol.com.br/poder/2019/07/com-42-acoes-pendentes-toffoli-so-viu-urgencia-ao-analisar-caso-flavio.shtml,2019-07-21,2019-07,Não,71,3,65,2
Folha,"Deltan receou comentar caso Flávio e questionou reação de Moro, apontam mensagens",https://www1.folha.uol.com.br/poder/2019/07/deltan-receou-comentar-caso-flavio-e-questionou-reacao-de-moro-apontam-mensagens.shtml,2019-07-21,2019-07,Não,81,6,75,5
O Globo,"Investigação contra Flávio e Queiroz será anulada, avalia advogado de Bolsonaro",https://epoca.globo.com/guilherme-amado/investigacao-contra-flavio-queiroz-sera-anulada-avalia-advogado-de-bolsonaro-23821189,2019-07-21,2019-07,Sim,79,12,63,10
Valor,Dallagnol manifestou receio de comentar o caso Flávio Bolsonaro,http://www.valor.com.br/politica/6358363/dallagnol-manifestou-receio-de-comentar-o-caso-flavio-bolsonaro,2019-07-21,2019-07,Sim,63,9,47,7
Folha,"Depois de preparar pizza, Flávio Bolsonaro assume embaixada em Nápoles",https://renatoterra.blogfolha.uol.com.br/?p=293,2019-07-22,2019-07,Sim,70,6,54,4
O Globo,Rede vai ao Supremo contra decisão de Toffoli que beneficiou Flávio Bolsonaro,https://oglobo.globo.com/brasil/rede-vai-ao-supremo-contra-decisao-de-toffoli-que-beneficiou-flavio-bolsonaro-23824153,2019-07-22,2019-07,Sim,77,4,61,2
Veja,Diálogos: Deltan viu chance de Bolsonaro barrar investigações sobre Flávio,https://veja.abril.com.br/politica/dialogos-deltan-viu-chance-de-bolsonaro-barrar-investigacoes-sobre-flavio/,2019-07-22,2019-07,Sim,74,9,58,7
Veja,Bolsonaro diz que acusações contra o filho Flávio já foram ‘resolvidas’,https://veja.abril.com.br/politica/bolsonaro-diz-que-acusacoes-contra-o-filho-flavio-ja-foram-resolvidas/,2019-07-22,2019-07,Sim,71,9,55,7
Valor,"Deltan suspeitou que Moro protegeria Flávio em troca de vaga no STF, diz site",http://www.valor.com.br/politica/6358601/deltan-suspeitou-que-moro-protegeria-flavio-em-troca-de-vaga-no-stf-diz-site,2019-07-22,2019-07,Não,77,6,71,5
Folha,Dodge recorre contra decisão de Toffoli que beneficiou Flávio Bolsonaro,https://www1.folha.uol.com.br/poder/2019/07/dodge-recorre-contra-decisao-de-toffoli-que-beneficiou-flavio-bolsonaro.shtml,2019-07-23,2019-07,Sim,71,5,55,3
Congresso em Foco,PGR recorre da decisão de Toffoli que beneficia Flávio Bolsonaro,https://congressoemfoco.uol.com.br/especial/noticias/pgr-recorre-da-decisao-de-toffoli-que-beneficia-flavio-bolsonaro/,2019-07-23,2019-07,Sim,64,3,48,1
R7,"Procuradores trocaram mensagens sobre Flávio Bolsonaro, afirma site</a",http://noticias.r7.com/brasil/procuradores-trocaram-mensagens-sobre-flavio-bolsonaro-afirma-site-22072019,2019-07-23,2019-07,Sim,70,12,54,10
Folha,Recurso de Dodge ao STF abre brecha para manter suspenso caso de Flávio,https://www1.folha.uol.com.br/poder/2019/07/recurso-de-dodge-ao-stf-abre-brecha-para-manter-suspenso-caso-de-flavio.shtml,2019-07-24,2019-07,Não,71,7,65,6
Folha,"Barbaridades foram cometidas contra Flávio, diz advogado de senador",https://www1.folha.uol.com.br/poder/2019/07/barbaridades-foram-cometidas-contra-flavio-diz-advogado-de-senador.shtml,2019-07-24,2019-07,Não,67,12,61,11
